application_produced_year,sic,desktop_cpu_keywords,server_cpu_keywords,mobile_cpu_keywords,server_gpu_keywords,mobile_gpu_keywords,sum_obs,desktop_cpu_keywords_fraction,server_cpu_keywords_fraction,mobile_cpu_keywords_fraction,server_gpu_keywords_fraction,mobile_gpu_keywords_fraction
2014,2,4,3,6,3,3,19,0.234313725,0.11078431,0.359803925,0.092156865,0.202941175
2015,2,3,3,7,2,5,20,0.15,0.15,0.35,0.1,0.25
2016,2,7,4,11,2,6,30,0.23333333,0.13333333,0.36666667,0.06666667,0.2
2018,2,8,3,12,4,7,34,0.23529412,0.08823529,0.35294118,0.11764706,0.20588235
2006,6,0,0,0,0,0,0,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2004,6,0,1,0,0,0,1,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2005,6,0,0,0,0,1,1,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2008,6,3,1,3,1,1,9,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2011,6,1,1,6,1,1,10,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2007,6,3,1,5,1,1,11,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2015,6,0,1,7,1,3,12,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2009,6,3,2,7,2,4,18,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2017,6,2,3,10,1,2,18,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2013,6,4,3,9,3,2,21,0.19047619,0.14285714,0.42857143,0.14285714,0.0952381
2014,6,3,5,9,2,2,21,0.14285714,0.23809524,0.42857143,0.0952381,0.0952381
2016,6,5,4,6,3,3,21,0.23809524,0.19047619,0.28571429,0.14285714,0.14285714
2012,6,6,2,11,2,5,26,0.23076923,0.07692308,0.42307692,0.07692308,0.19230769
2010,6,6,4,11,4,4,29,0.20689655,0.13793103,0.37931034,0.13793103,0.13793103
2018,6,11,1,21,1,4,38,0.28947368,0.02631579,0.55263158,0.02631579,0.10526316
2019,7,0,0,0,0,0,0,0.173142529,0.129407628,0.315829845,0.103004629,0.27861537
2004,7,1,1,5,1,4,12,0.173142529,0.129407628,0.315829845,0.103004629,0.27861537
2008,7,21,10,38,7,36,112,0.1875,0.08928571,0.33928571,0.0625,0.32142857
2006,7,19,11,41,14,47,132,0.14393939,0.08333333,0.31060606,0.10606061,0.35606061
2005,7,25,20,39,12,47,143,0.17482517,0.13986014,0.27272727,0.08391608,0.32867133
2007,7,25,21,38,20,47,151,0.16556291,0.13907285,0.25165563,0.13245033,0.31125828
2015,7,30,23,54,20,42,169,0.17751479,0.13609467,0.31952663,0.1183432,0.24852071
2017,7,36,26,50,21,36,169,0.21301775,0.15384615,0.29585799,0.12426036,0.21301775
2012,7,26,25,59,18,47,175,0.14857143,0.14285714,0.33714286,0.10285714,0.26857143
2009,7,29,19,65,18,52,183,0.15846995,0.10382514,0.35519126,0.09836066,0.28415301
