level_0,index,year,sic,desktop_cpu,server_cpu,mobile_cpu,server_gpu,mobile_gpu,desktop_gpu,desktop_cpu_fraction,server_cpu_fraction,mobile_cpu_fraction,server_gpu_fraction,mobile_gpu_fraction,desktop_gpu_fraction
67,67,2008,37,6.0075,1.17,33.495000000000005,1.22625,0.0,0.32625000000000004,0.1422735346358792,0.027708703374777967,0.7932504440497335,0.02904085257548845,0.0,0.007726465364120781
68,68,2008,38,12.795,8.2575,36.77,2.7075,0.0,0.9075,0.20826042726347915,0.13440488301119025,0.5984944048830113,0.04406917599186165,0.0,0.014771108850457782
69,69,2008,99,21.255,11.17875,44.08833333333334,3.61125,0.0,2.22375,0.25808344758849927,0.1357351371314955,0.5353314074381378,0.04384868737256965,0.0,0.02700132046929782
70,70,2009,13,0.0,0.45,0.6000000000000001,0.45,0.0,0.0,0.0,0.3,0.4000000000000001,0.3,0.0,0.0
71,71,2009,20,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,72,2009,22,0.15,0.0375,0.3666666666666667,0.0375,0.0,0.0375,0.23841059602649006,0.059602649006622516,0.5827814569536425,0.059602649006622516,0.0,0.059602649006622516
73,73,2009,28,5.2125,11.512500000000001,4.016666666666667,2.9625,0.0,1.1625,0.20961796246648798,0.46296916890080436,0.16152815013404828,0.11913538873994639,0.0,0.04674932975871315
74,74,2009,29,0.0,0.45,0.6000000000000001,0.45,0.0,0.0,0.0,0.3,0.4000000000000001,0.3,0.0,0.0
75,75,2009,30,0.73125,0.09375,2.5,0.39375000000000004,0.0,0.09375,0.1918032786885246,0.02459016393442623,0.6557377049180327,0.10327868852459017,0.0,0.02459016393442623
76,76,2009,32,0.375,0.0375,1.3666666666666667,0.0375,0.0,0.0375,0.20224719101123598,0.020224719101123594,0.7370786516853932,0.020224719101123594,0.0,0.020224719101123594
77,77,2009,33,0.0,0.45,0.8,0.0,0.0,0.0,0.0,0.36,0.64,0.0,0.0,0.0
78,78,2009,34,1.70625,0.9187500000000001,4.833333333333334,0.69375,0.0,0.24375,0.2032258064516129,0.10942928039702234,0.575682382133995,0.08263027295285359,0.0,0.029032258064516127
79,79,2009,35,42.21,16.19625,68.61,2.31,0.0,2.91,0.319201429260131,0.12247965289396816,0.5188441142273771,0.017468734934634033,0.0,0.02200606868388963
80,80,2009,36,22.82625,12.43125,52.870000000000005,1.67625,0.0,0.7012499999999999,0.25220982266173136,0.13735428981824208,0.5841666206286945,0.01852107618363626,0.0,0.007748190707695705
81,81,2009,37,9.61875,0.84375,34.21666666666667,0.43125,0.0,0.43125,0.2112076852698994,0.018526989935956084,0.7513266239707228,0.009469350411710889,0.0,0.009469350411710889
82,82,2009,38,15.356250000000001,6.3187500000000005,38.525,2.175,0.0,1.35,0.24097685366810517,0.09915653197332289,0.6045508042369557,0.03413103177716752,0.0,0.021184778344448808
83,83,2009,99,22.2825,5.89125,37.696666666666665,3.2175000000000002,0.0,2.1675,0.31271306859712417,0.08267792507002393,0.52903580429558,0.04515446194148983,0.0,0.03041874009578219
84,84,2010,13,0.31875,0.0,0.375,0.0,0.0,0.0,0.45945945945945943,0.0,0.5405405405405406,0.0,0.0,0.0
85,85,2010,20,0.10625,0.2125,0.6,0.2125,0.0,0.0,0.09392265193370164,0.18784530386740328,0.5303867403314917,0.18784530386740328,0.0,0.0
86,86,2010,22,0.035416666666666666,0.035416666666666666,0.175,0.24791666666666667,0.0,0.035416666666666666,0.06692913385826772,0.06692913385826772,0.33070866141732286,0.46850393700787407,0.0,0.06692913385826772
87,87,2010,28,2.975,10.09375,5.475,2.904166666666667,0.0,0.7791666666666667,0.1338457212484769,0.4541194113787609,0.2463211172556003,0.1306589183616084,0.0,0.035054831755553476
88,88,2010,29,0.31875,0.0,0.375,0.0,0.0,0.0,0.45945945945945943,0.0,0.5405405405405406,0.0,0.0,0.0
89,89,2010,30,1.2041666666666666,0.5666666666666667,3.1,1.4166666666666665,0.0,0.14166666666666666,0.18729747245625405,0.08813998703823721,0.4821775761503565,0.220349967595593,0.0,0.022034996759559302
90,90,2010,32,0.31875,0.425,1.575,0.85,0.0,0.0,0.10059171597633136,0.13412228796844183,0.49704142011834324,0.26824457593688367,0.0,0.0
91,91,2010,33,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92,92,2010,34,1.4875,1.275,6.8999999999999995,1.0625,0.0,0.0,0.13869463869463872,0.11888111888111888,0.6433566433566433,0.09906759906759907,0.0,0.0
93,93,2010,35,35.402499999999996,17.10625,100.3025,2.99625,0.0,2.35875,0.22383093738392354,0.10815360419811432,0.634158677973335,0.01894367477258897,0.0,0.014913105672038126
94,94,2010,36,21.179166666666667,11.386458333333334,75.9875,2.2489583333333334,0.0,1.1864583333333334,0.18911905049809785,0.10167520858718805,0.6785292394125143,0.020082039643192665,0.0,0.010594461859007153
95,95,2010,37,7.101041666666666,2.0010416666666666,42.925,1.2572916666666667,0.0,0.30104166666666665,0.13251817580964972,0.03734302709847985,0.8010575016523463,0.02346331791143424,0.0,0.005617977528089888
96,96,2010,38,13.515,7.0337499999999995,54.1575,2.135625,0.0,0.860625,0.17393262765033302,0.09052154049097519,0.6969852964833821,0.027484636916444132,0.0,0.011075898458865545
97,97,2010,99,17.435624999999998,4.39875,47.9625,4.391666666666667,0.0,2.4260416666666664,0.22757579877634262,0.05741400407885792,0.6260231135282122,0.05732154996600952,0.0,0.03166553365057784
98,98,2011,13,0.24062499999999998,0.653125,1.075,0.44687499999999997,0.029166666666666667,0.034374999999999996,0.09705882352941177,0.2634453781512605,0.4336134453781513,0.18025210084033613,0.011764705882352943,0.013865546218487394
99,99,2011,20,0.103125,0.0,0.225,0.0,0.0,0.0,0.3142857142857143,0.0,0.6857142857142857,0.0,0.0,0.0
100,100,2011,22,0.515625,0.0,0.6749999999999999,0.20625,0.0,0.0,0.3691275167785235,0.0,0.48322147651006714,0.1476510067114094,0.0,0.0
101,101,2011,28,2.853125,8.078125,6.324999999999999,2.784375,0.17083333333333334,1.134375,0.1336619168455983,0.37844036697247707,0.296310755416748,0.13044114776498147,0.008003123170017569,0.05314268983017763
102,102,2011,29,0.24062499999999998,0.653125,1.075,0.44687499999999997,0.029166666666666667,0.034374999999999996,0.09705882352941177,0.2634453781512605,0.4336134453781513,0.18025210084033613,0.011764705882352943,0.013865546218487394
103,103,2011,30,1.684375,0.5499999999999999,5.425,1.0656249999999998,0.19166666666666668,0.034374999999999996,0.18817642266961482,0.06144536250436402,0.6060747119748633,0.11905038985220527,0.02141277784242989,0.003840335156522751
104,104,2011,32,0.34375,0.5499999999999999,2.425,0.44687499999999997,0.029166666666666667,0.034374999999999996,0.08977149075081611,0.14363438520130578,0.6332970620239391,0.11670293797606095,0.007616974972796519,0.008977149075081611
105,105,2011,33,0.7218749999999999,0.0,0.825,0.4125,0.0,0.0,0.3684210526315789,0.0,0.4210526315789474,0.2105263157894737,0.0,0.0
106,106,2011,34,2.3375,1.9249999999999998,8.75,1.9249999999999998,0.25833333333333336,0.06874999999999999,0.1531322505800464,0.12610891224239115,0.5732223283745053,0.12610891224239115,0.01692370683772349,0.004503889722942541
107,107,2011,35,36.365312499999995,14.89125,101.565,4.0940625,1.2837500000000002,2.5128125,0.22627600971457124,0.09265787636671922,0.6319682506966063,0.02547449925040688,0.007987882064015836,0.01563548190768046
108,108,2011,36,21.1303125,12.4609375,71.80499999999999,1.8803124999999998,0.905,1.8803124999999998,0.19198575801111878,0.11321756511962024,0.6524057490388929,0.017084140171153728,0.008222647488060696,0.017084140171153728
109,109,2011,37,6.25625,0.171875,40.775,1.30625,0.30833333333333335,0.27499999999999997,0.12743745888943114,0.0035010290903689876,0.8305714103842645,0.026607821086804304,0.00628063400454073,0.00560164654459038
110,110,2011,38,14.966875,6.984999999999999,59.91,2.248125,0.4341666666666667,0.598125,0.17578661211746024,0.08203913546685328,0.7036456128588662,0.02640432804887896,0.005099306797689163,0.0070250047102522
111,111,2011,99,17.66875,9.535625,55.855,5.1459375,1.3854166666666667,2.963125,0.19090236877853772,0.10302785427853378,0.6034864836576002,0.05559938639328228,0.014968762556034382,0.032015144336011575
112,112,2012,13,0.3075,0.0,0.975,0.0,0.03,0.0,0.2342857142857143,0.0,0.7428571428571429,0.0,0.022857142857142857,0.0
113,113,2012,20,0.615,0.0,0.75,0.0,0.03,0.0,0.44086021505376344,0.0,0.5376344086021505,0.0,0.02150537634408602,0.0
114,114,2012,22,0.0,0.0,0.0,0.0,0.0,0.0,0.19382747305932038,0.07527098219262991,0.6240355106726814,0.07102345784306045,0.02169854561331515,0.014144030618992703
115,115,2012,28,3.7754166666666666,7.260416666666666,6.175,3.0579166666666664,0.155,1.0079166666666666,0.17616066568162378,0.33877051092619953,0.28812504860409055,0.14268216813126994,0.007232288669414418,0.04702931798740182
116,116,2012,29,0.3075,0.0,0.975,0.0,0.03,0.0,0.2342857142857143,0.0,0.7428571428571429,0.0,0.022857142857142857,0.0
117,117,2012,30,0.5295833333333333,0.32458333333333333,4.25,1.0420833333333333,0.33999999999999997,0.22208333333333333,0.078944099378882,0.04838509316770187,0.6335403726708075,0.15534161490683232,0.050683229813664604,0.033105590062111806
118,118,2012,32,0.5466666666666666,0.23916666666666664,1.9749999999999999,0.44416666666666665,0.049999999999999996,0.034166666666666665,0.16620217887002786,0.07271345325563719,0.6004560425639727,0.13503927033189764,0.015201418799087913,0.010387636179376741
119,119,2012,33,0.5125,0.41,3.675,1.64,0.36,0.0,0.07768093974990525,0.06214475179992421,0.5570291777188329,0.24857900719969683,0.05456612353164077,0.0
120,120,2012,34,1.6570833333333332,0.8370833333333333,9.0875,1.4008333333333334,0.4375,0.17083333333333334,0.12192654362621863,0.06159175915138879,0.6686492120914832,0.10307192347783431,0.03219081488748543,0.01256974676558955
121,121,2012,35,45.653499999999994,16.769,108.96,5.172833333333333,1.754,1.9269999999999998,0.2532979846830735,0.09303895440985817,0.604539595235145,0.02870028055756424,0.009731667125940202,0.01069151798841891
122,122,2012,36,24.039666666666665,11.777249999999999,72.64,2.993,1.4144999999999999,1.4896666666666667,0.2102213228065752,0.10298932628116327,0.6352199928730137,0.02617309249268901,0.012369475219147545,0.013026790327411426
123,123,2012,37,7.516666666666667,1.0591666666666666,43.8625,1.3154166666666667,0.5075,0.29041666666666666,0.13778986282117872,0.019415844306620637,0.8040542604870001,0.024113225993706276,0.00930310714613058,0.005323699245363723
124,124,2012,38,14.322666666666667,6.037249999999999,60.105,1.8347499999999999,0.7374999999999999,1.1172499999999999,0.17019506799504483,0.07174014435764413,0.7142227631150276,0.02180218309001409,0.008763651739411578,0.013276189702857741
125,125,2012,99,22.5705,11.158833333333332,60.415,3.9154999999999998,1.535,3.983833333333333,0.2179068405334432,0.10773293084805108,0.583276479069049,0.03780218577828125,0.014819653982802123,0.03846190978837342
126,126,2013,13,0.61125,0.20375,1.575,0.4075,0.08750000000000001,0.0,0.21187175043327555,0.07062391681109186,0.5459272097053726,0.1412478336221837,0.03032928942807626,0.0
127,127,2013,20,0.0,0.0,0.3,0.0,0.035,0.0,0.0,0.0,0.8955223880597015,0.0,0.10447761194029853,0.0
128,128,2013,22,0.0,0.4075,0.075,0.4075,0.0175,0.0,0.0,0.44903581267217624,0.08264462809917356,0.44903581267217624,0.01928374655647383,0.0
